id,title,genres,language,user_score,runtime_hour,runtime_min,release_date,vote_count,director,top_billed,budget_usd,revenue_usd
6307,The Expendables 2,"Action, Adventure, Thriller",en,6.3,1,43,2012-08-08,6670,Simon West,"Sylvester Stallone, Jason Statham, Jet Li, Dolph Lundgren, Chuck Norris",100000000.0,314975955.0
6308,La Tour Montparnasse Infernale,Comedy,fr,6.3,1,32,2001-03-28,851,Charles Nemes,"Eric Judor, Ramzy Bedia, Marina Foïs, Serge Riaboukine, Michel Puterflam",0.0,0.0
6309,The Hot Chick,"Comedy, Fantasy",en,6.3,1,44,2002-12-13,1984,Tom Brady,"Rob Schneider, Anna Faris, Matthew Lawrence, Eric Christian Olsen, Robert Davi",0.0,54639553.0
6310,The Myth,"Action, Adventure, Comedy, Drama, Fantasy",zh,6.3,1,58,2005-05-11,365,Stanley Tong,"Jackie Chan, Kim Hee-seon, Tony Leung Ka-fai, Sun Zhou, Shao Bing",15000000.0,6669097.0
6311,Pinocchio,"Fantasy, Adventure, Family",en,6.3,1,45,2022-09-07,1571,Robert Zemeckis,"Joseph Gordon-Levitt, Tom Hanks, Benjamin Evan Ainsworth, Angus Wright, Cynthia Erivo",0.0,0.0
6312,Possessor,"Horror, Thriller, Science Fiction",en,6.3,1,43,2020-10-02,861,Brandon Cronenberg,"Andrea Riseborough, Christopher Abbott, Jennifer Jason Leigh, Sean Bean, Tuppence Middleton",2500000.0,911000.0
6313,"Roman J. Israel, Esq.","Drama, Crime, Thriller",en,6.3,2,2,2017-11-17,1254,Dan Gilroy,"Denzel Washington, Colin Farrell, Carmen Ejogo, Lynda Gravatt, Amanda Warren",22000000.0,13025860.0
6314,Witching & Bitching,"Comedy, Horror",es,6.3,1,50,2013-09-20,632,Álex de la Iglesia,"Hugo Silva, Gabriel Ángel Delgado, Mario Casas, Carmen Maura, Javier Botet",8000000.0,0.0
6315,Delicacy,"Drama, Comedy, Romance",fr,6.3,1,48,2011-12-20,434,David Foenkinos,"Audrey Tautou, François Damiens, Mélanie Bernier, Joséphine de Meaux, Pio Marmaï",0.0,9696204.0
6316,Pumpkinhead,"Fantasy, Horror",en,6.3,1,26,1988-06-09,462,Stan Winston,"Lance Henriksen, Jeff East, John D'Aquino, Cynthia Bain, Kerry Remsen",3500000.0,4400000.0
6317,The Blair Witch Project,"Horror, Mystery",en,6.3,1,21,1999-07-14,4809,Daniel Myrick,"Rei Hance, Joshua Leonard, Michael C. Williams, Bob Griffin, Jim King",60000.0,248639099.0
6318,The Little Mermaid,"Adventure, Family, Fantasy, Romance",en,6.3,2,15,2023-05-18,2904,Rob Marshall,"Halle Bailey, Jonah Hauer-King, Daveed Diggs, Awkwafina, Jacob Tremblay",297000000.0,569626289.0
6319,Tamara,Comedy,fr,6.3,1,43,2016-10-26,635,Alexandre Castagnetti,"Héloïse Martin, Sylvie Testud, Rayane Bensetti, Cyril Gueï, Ina Castagnetti",0.0,0.0
6320,Edge of Darkness,"Crime, Drama, Mystery, Thriller",en,6.3,1,57,2010-01-28,1510,Martin Campbell,"Mel Gibson, Ray Winstone, Danny Huston, Bojana Novaković, Shawn Roberts",80000000.0,81126522.0
6321,Lord of the Flies,"Adventure, Drama, Thriller",en,6.3,1,31,1990-03-16,540,Harry Hook,"Balthazar Getty, Chris Furrh, Danuel Pipoly, James Badge Dale, Andrew Taft",0.0,13985225.0
6322,Hunter Hunter,"Horror, Thriller, Mystery",en,6.3,1,33,2020-12-18,302,Shawn Linden,"Camille Sullivan, Summer H. Howell, Devon Sawa, Nick Stahl, Gabriel Daniels",0.0,0.0
6323,Second Act,"Romance, Comedy",en,6.3,1,43,2018-11-22,1185,Peter Segal,"Jennifer Lopez, Vanessa Hudgens, Leah Remini, Milo Ventimiglia, Treat Williams",16000000.0,72282227.0
6324,Correspondence,"Drama, Romance",it,6.3,2,2,2016-01-14,395,Giuseppe Tornatore,"Jeremy Irons, Olga Kurylenko, Simon Johns, Shauna Macdonald, Simon Meacock",10000000.0,0.0
6325,Resolution,"Horror, Thriller, Mystery",en,6.3,1,33,2012-04-22,379,Justin Benson,"Peter Cilella, Vinny Curran, Zahn McClarnon, Bill Oberst Jr., Emily Montague",0.0,0.0
6326,The Suicide Shop,"Comedy, Animation, Music",fr,6.3,1,19,2012-09-26,592,Patrice Leconte,"Bernard Alane, Isabella Spade, Kacey Mottet Klein, Isabelle Giami, Laurent Gendron",0.0,2514478.0
6327,Kirikou and the Wild Beasts,"Adventure, Animation, Family, Fantasy",fr,6.3,1,15,2005-12-07,303,Michel Ocelot,"Pierre-Ndoffé Sarr, Awa Sène Sarr, Robert Liensol, Marie-Philomène Nga, Emile Abossolo M'bo",0.0,0.0
6328,The Lie,"Horror, Mystery, Thriller",en,6.3,1,35,2018-09-13,714,Veena Sud,"Peter Sarsgaard, Mireille Enos, Joey King, Cas Anvar, Patti Kim",0.0,0.0
6329,I Am Not a Serial Killer,"Drama, Horror, Mystery, Thriller",en,6.3,1,44,2016-08-26,476,Billy O'Brien,"Max Records, Christopher Lloyd, Laura Fraser, Christina Baldwin, Karl Geary",0.0,0.0
6330,Last Man Standing,"Crime, Action",en,6.3,1,41,1996-09-20,855,Walter Hill,"Bruce Willis, Bruce Dern, William Sanderson, Christopher Walken, David Patrick Kelly",67000000.0,47267001.0
6331,Idiocracy,"Comedy, Science Fiction, Adventure",en,6.3,1,24,2006-09-01,2951,Mike Judge,"Luke Wilson, Maya Rudolph, Dax Shepard, Terry Crews, Anthony 'Citric' Campos",30000000.0,495303.0
6332,6 Underground,"Action, Comedy, Thriller",en,6.3,2,8,2019-12-10,4688,Michael Bay,"Ryan Reynolds, Mélanie Laurent, Manuel Garcia-Rulfo, Ben Hardy, Adria Arjona",150000000.0,0.0
6333,White Boy Rick,"Crime, Drama",en,6.3,1,51,2018-09-14,1062,Yann Demange,"Richie Merritt, Matthew McConaughey, Jennifer Jason Leigh, Bel Powley, RJ Cyler",29000000.0,26000000.0
6334,Take This Waltz,"Drama, Comedy, Romance",en,6.3,1,56,2011-11-25,348,Sarah Polley,"Michelle Williams, Seth Rogen, Luke Kirby, Sarah Silverman, Jennifer Podemski",0.0,4965950.0
6335,The Last Mimzy,"Drama, Science Fiction, Adventure",en,6.3,1,34,2007-02-09,451,Robert Shaye,"Joely Richardson, Rainn Wilson, Rhiannon Leigh Wryn, Kathryn Hahn, Chris O'Neil",0.0,27308918.0
6336,Godzilla,"Action, Drama, Science Fiction",en,6.3,2,3,2014-05-14,9062,Gareth Edwards,"Aaron Taylor-Johnson, Elizabeth Olsen, Juliette Binoche, Bryan Cranston, Ken Watanabe",160000000.0,524978362.0
6337,Contraband,"Thriller, Action, Drama, Crime",en,6.3,1,49,2012-01-12,2039,Baltasar Kormákur,"Mark Wahlberg, Kate Beckinsale, Ben Foster, Giovanni Ribisi, Lukas Haas",25000000.0,96262212.0
6338,A Perfect Getaway,"Thriller, Mystery, Adventure",en,6.3,1,38,2009-06-08,1247,David Twohy,"Steve Zahn, Milla Jovovich, Timothy Olyphant, Kiele Sanchez, Chris Hemsworth",14000000.0,22852638.0
